,cc,cd,dt,ex,fw,in,jj,jjr,jjs,md,nn,nnp,nnps,nns,pdt,pos,prp,rb,rbr,rbs,rp,sym,to,uh,vb,vbd,vbg,vbn,vbp,vbz,wdt,wp,wrb,id
0,0.0,0.0,0.5667884200383688,0.0,0.0,0.15329390607950563,0.0,0.0,0.0,0.0,0.12311160473291848,0.5768408529256598,0.0,0.2082703285291868,0.0,0.0,0.4446055996189955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2574866200157945,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.2051096233857425,0.0,0.0,0.0,0.0,0.16472523616226933,0.9647775074937451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2,0.196624076339475,0.0,0.2676365494721839,0.0,0.0,0.32573307397413953,0.1146674367734291,0.0,0.0,0.0,0.34879857025100675,0.0,0.0,0.44255206266471264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2078362307350224,0.0,0.17176229852683986,0.18718926918230383,0.1972186021374216,0.4162539680327487,0.3647542614488359,0.0,0.0,0.0,0.0,5
3,0.0,0.3658708403910539,0.0,0.0,0.0,0.19648703657983596,0.20750731175924922,0.0,0.0,0.0,0.0,0.18484386083613033,0.0,0.8008619658824097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3300377961510216,0.0,0.0,0.0,0.0,6
4,0.0,0.0,0.36657495836155224,0.0,0.0,0.5948643823849165,0.0,0.0,0.0,0.0,0.3583053817345507,0.27980733749132286,0.0,0.2020507590911045,0.0,0.0,0.0,0.2342292090174766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25638836956894834,0.0,0.28506622376570173,0.249797306209671,0.0,0.0,0.0,0.0,7
5,0.0,0.19262004285421067,0.127491844157952,0.0,0.0,0.10344454170179967,0.10924638662350741,0.0,0.0,0.0,0.08307716761529163,0.8758328245504364,0.0,0.2810865641796746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19801050634901843,0.0,0.0,0.17833965638621838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
6,0.0,0.0,0.0,0.0,0.0,0.3166751378771125,0.16721817302987613,0.0,0.0,0.0,0.5086488484786773,0.5958200208514564,0.0,0.43024564178359964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27003421834865,0.0,0.0,0.0,10
7,0.24860608257504396,0.0,0.5075884552660722,0.0,0.0,0.41184795368612814,0.0,0.0,0.0,0.3284307967462603,0.3307585003279305,0.0,0.0,0.18651689166255528,0.0,0.0,0.3981673963945391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21717153344496118,0.0,0.0,0.0,0.23059263577871203,0.0,0.0,0.0,0.0,13
8,0.0,0.0,0.5158495341802919,0.5348331706511854,0.0,0.2790338943002304,0.0,0.0,0.0,0.0,0.4481888599584663,0.0,0.0,0.0,0.0,0.0,0.0,0.2197404661848397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25341612034408334,0.0,0.0,0.23793689661037432,0.0,0.0,0.0,14
9,0.0,0.0,0.23579751544982452,0.0,0.0,0.19132177498280178,0.20205234858615284,0.0,0.0,0.0,0.3073042019852616,0.0,0.0,0.0,0.0,0.0,0.5548996347074715,0.0,0.0,0.0,0.0,0.0,0.3662225277109857,0.0,0.0,0.0,0.3475134952696339,0.0,0.3213617451315641,0.3262865933012111,0.0,0.0,0.0,15
