,he,it,she,they,we,you,id
0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,4
2,0.0,0.0,0.0,0.0,0.0,0.0,5
3,0.0,0.0,0.0,0.0,0.0,0.0,6
4,0.0,0.0,0.0,0.0,0.0,0.0,7
5,0.0,0.0,0.0,0.0,0.0,0.0,8
6,0.0,0.0,0.0,0.0,0.0,0.0,10
7,0.0,0.0,0.0,0.0,0.0,0.0,13
8,0.0,0.0,0.0,0.0,0.0,0.0,14
9,0.0,0.0,0.0,0.0,0.0,0.0,15
10,0.0,0.0,0.0,0.0,0.0,0.0,16
11,0.0,0.0,0.0,0.0,0.0,0.0,17
12,0.0,0.0,0.0,0.0,0.0,0.0,18
13,0.0,0.0,0.0,0.0,0.0,0.0,19
14,0.0,0.0,0.0,0.0,0.0,0.0,20
15,0.0,0.0,0.0,0.0,0.0,0.0,23
16,0.0,0.0,0.0,0.0,0.0,0.0,24
17,0.0,0.0,0.0,0.0,0.0,0.0,25
18,0.0,0.0,0.0,0.0,0.0,0.0,26
19,0.0,0.0,0.0,0.0,0.0,0.0,28
20,0.0,0.0,0.0,0.0,0.0,0.0,31
21,0.0,0.0,0.0,0.0,0.0,0.0,32
22,0.0,0.0,0.0,0.0,0.0,0.0,33
23,0.0,0.0,0.0,0.0,0.0,0.0,34
24,0.0,0.0,0.0,0.0,0.0,0.0,36
25,0.0,0.0,0.0,0.0,0.0,0.0,37
26,0.0,0.0,0.0,0.0,0.0,0.0,38
27,0.0,0.0,0.0,0.0,0.0,0.0,39
28,0.0,0.0,0.0,0.0,0.0,0.0,40
29,0.0,0.0,0.0,0.0,0.0,1.0,41
30,0.0,0.0,0.0,0.0,0.0,0.0,44
31,0.0,0.0,0.0,0.0,0.0,0.0,48
32,0.0,0.0,0.0,0.0,1.0,0.0,49
33,0.0,0.0,0.0,0.0,0.0,0.0,50
34,0.0,0.0,0.0,0.0,0.0,0.0,52
35,0.0,1.0,0.0,0.0,0.0,0.0,53
36,0.0,0.0,0.0,1.0,0.0,0.0,54
37,0.0,0.0,0.0,0.0,0.0,0.0,55
38,0.0,0.0,0.0,0.0,0.0,0.0,56
39,0.0,0.0,0.0,0.0,0.0,1.0,57
40,0.0,0.0,0.0,0.0,0.0,0.0,59
41,0.0,0.0,0.0,0.0,0.0,1.0,61
42,0.0,0.0,0.0,0.0,0.0,0.0,62
43,0.0,0.0,0.0,0.0,0.0,0.0,63
