,id,cities,counties,country,states,continent,has_location,has_country,has_city,has_county,has_state,has_continent
0,1,,,,,,0,0,0,0,0,0
1,4,,,,,,0,0,0,0,0,0
2,5,,,,,,0,0,0,0,0,0
3,6,,,,,,0,0,0,0,0,0
4,7,,,,,,0,0,0,0,0,0
5,8,,,,,,0,0,0,0,0,0
6,10,,,,,,0,0,0,0,0,0
7,13,,,,,,0,0,0,0,0,0
8,14,,,,,,0,0,0,0,0,0
9,15,,,,,,0,0,0,0,0,0
10,16,,,,,,0,0,0,0,0,0
11,17,,,,,,0,0,0,0,0,0
12,18,,,,,,0,0,0,0,0,0
13,19,,,,,,0,0,0,0,0,0
14,20,,,,,,0,0,0,0,0,0
15,23,,,,,,0,0,0,0,0,0
16,24,,,,,,0,0,0,0,0,0
17,25,,,,,,0,0,0,0,0,0
18,26,,,,,,0,0,0,0,0,0
19,28,,,,,,0,0,0,0,0,0
20,31,,,,,,0,0,0,0,0,0
21,32,,,,,,0,0,0,0,0,0
22,33,,,,,,0,0,0,0,0,0
23,34,,,,,,0,0,0,0,0,0
24,36,,,,,,0,0,0,0,0,0
25,37,,,,,,0,0,0,0,0,0
26,38,,,,,,0,0,0,0,0,0
27,39,,,,,,0,0,0,0,0,0
28,40,,,,,,0,0,0,0,0,0
29,41,,,,,,0,0,0,0,0,0
30,44,,,,,,0,0,0,0,0,0
31,48,Birmingham,,GB,,EU,1,1,1,0,0,1
32,49,Bristol,,GB,,EU,1,1,1,0,0,1
33,50,,,,,AF,1,0,0,0,0,1
34,52,Philadelphia,,US,,NA,1,1,1,0,0,1
35,53,London,,GB,,EU,1,1,1,0,0,1
36,54,Pretoria,,ZA,,AF,1,1,1,0,0,1
37,55,,,,,,1,0,0,0,0,0
38,56,,,,,,0,0,0,0,0,0
39,57,,,,,,1,0,0,0,0,0
40,59,,,,,,1,0,0,0,0,0
41,61,,,,,,0,0,0,0,0,0
42,62,,,,,,1,0,0,0,0,0
43,63,,,,,,0,0,0,0,0,0
44,64,,,,,,0,0,0,0,0,0
45,65,,,,,,0,0,0,0,0,0
46,66,Carolina,,US,North Carolina,NA,1,1,1,0,1,1
47,67,,,,,,0,0,0,0,0,0
48,68,,,,,,1,0,0,0,0,0
49,71,,,,,,1,0,0,0,0,0
50,73,,,US,Ohio,NA,1,1,0,0,1,1
51,74,,,IN,,AS,1,1,0,0,0,1
52,76,,,BB,,NA,1,1,0,0,0,1
53,77,Anaheim,,US,,NA,1,1,1,0,0,1
54,78,Abuja,,NG,,AF,1,1,1,0,0,1
55,79,,,,,,0,0,0,0,0,0
56,80,,,ZA,,AF,1,1,0,0,0,1
57,81,,,BR,,SA,1,1,0,0,0,1
58,82,,,,,,1,0,0,0,0,0
59,83,,,,,,1,0,0,0,0,0
60,85,,,,,,0,0,0,0,0,0
61,86,,,,,,1,0,0,0,0,0
62,89,,,,,,1,0,0,0,0,0
63,91,Concord,,US,,NA,1,1,1,0,0,1
64,92,Calgary,,CA,,NA,1,1,1,0,0,1
65,93,Birmingham,,GB,,EU,1,1,1,0,0,1
66,95,,,,,,1,0,0,0,0,0
67,96,,,,,,1,0,0,0,0,0
68,97,Nashville,,US,,NA,1,1,1,0,0,1
69,98,Santa Clara,,CU,,NA,1,1,1,0,0,1
70,100,,,,,,0,0,0,0,0,0
71,102,,,,,,1,0,0,0,0,0
72,104,,Walker County,US,Alabama,NA,1,1,0,1,1,1
73,105,,,AU,,OC,1,1,0,0,0,1
74,107,,,US,North Carolina,NA,1,1,0,0,1,1
75,109,,,,,,0,0,0,0,0,0
76,110,,,,,,1,0,0,0,0,0
77,112,,,,,,1,0,0,0,0,0
78,113,,,US,North Carolina,NA,1,1,0,0,1,1
79,114,,,KE,,AF,1,1,0,0,0,1
80,117,,,,,,0,0,0,0,0,0
81,118,,,,,,1,0,0,0,0,0
82,119,,,,,,0,0,0,0,0,0
83,120,Arlington,,US,,NA,1,1,1,0,0,1
84,121,,,,,,1,0,0,0,0,0
85,126,,,,,,0,0,0,0,0,0
86,128,,Hanover County,US,VA,NA,1,1,0,1,1,1
87,129,,,MV,,AS,1,1,0,0,0,1
88,130,Manchester,,GB,,EU,1,1,1,0,0,1
89,131,Wilmington,,US,,NA,1,1,1,0,0,1
90,132,,,,,,0,0,0,0,0,0
91,133,,Hanover County,US,VA,NA,1,1,0,1,1,1
92,134,,,,,,0,0,0,0,0,0
93,135,,,,,,1,0,0,0,0,0
94,136,Montana,,US,Montana,NA,1,1,1,0,1,1
95,137,Charlotte,,US,,NA,1,1,1,0,0,1
96,138,Baton Rouge,,US,,NA,1,1,1,0,0,1
97,139,Hagerstown,,US,,NA,1,1,1,0,0,1
98,141,,,,,,1,0,0,0,0,0
99,143,,,,,,0,0,0,0,0,0
100,144,,,,,,0,0,0,0,0,0
101,145,,,KE,,AF,1,1,0,0,0,1
102,146,,,,,,1,0,0,0,0,0
103,149,,,,,,0,0,0,0,0,0
104,151,,,CH,,EU,1,1,0,0,0,1
105,153,,,,,,0,0,0,0,0,0
106,156,,,,,,0,0,0,0,0,0
107,157,,,,,,0,0,0,0,0,0
108,158,,,,,,1,0,0,0,0,0
109,159,,,,,,0,0,0,0,0,0
110,160,,,,,,0,0,0,0,0,0
111,161,,,,,,1,0,0,0,0,0
112,162,,,,,,0,0,0,0,0,0
113,163,,,BE,,EU,1,1,0,0,0,1
114,164,,,CH,,EU,1,1,0,0,0,1
115,165,,,,,,0,0,0,0,0,0
116,168,,,,,,0,0,0,0,0,0
117,170,,,,,,1,0,0,0,0,0
118,171,,,CH,,EU,1,1,0,0,0,1
119,172,,,CH,,EU,1,1,0,0,0,1
120,173,,,CA,,NA,1,1,0,0,0,1
121,174,Oregon,,US,Oregon,NA,1,1,1,0,1,1
122,175,,,,,,0,0,0,0,0,0
123,176,,,,,,0,0,0,0,0,0
124,178,,,US,,NA,1,1,0,0,0,1
125,180,,,,,,0,0,0,0,0,0
126,182,,,,,,0,0,0,0,0,0
127,183,Marysville,,US,,NA,1,1,1,0,0,1
128,184,,,,,,0,0,0,0,0,0
129,185,Hermosa Beach,,US,,NA,1,1,1,0,0,1
130,187,,,,,,0,0,0,0,0,0
131,190,,,,,,0,0,0,0,0,0
132,191,,,,,,0,0,0,0,0,0
133,193,,,,,,0,0,0,0,0,0
134,194,,,,,,0,0,0,0,0,0
135,195,,,,,,0,0,0,0,0,0
136,196,,,,,,1,0,0,0,0,0
137,197,,,US,Pennsylvania,NA,1,1,0,0,1,1
138,198,Salt Lake,,US,Utah,NA,1,1,1,0,1,1
139,199,Palo Alto,,US,,NA,1,1,1,0,0,1
140,201,,,,,,0,0,0,0,0,0
141,203,,,ES,,EU,1,1,0,0,0,1
142,204,,,IN,,AS,1,1,0,0,0,1
143,205,,,IN,,AS,1,1,0,0,0,1
144,208,"Eagle Pass,Texas",,US,Texas,NA,1,1,1,0,1,1
145,209,Bangalore,,IN,,AS,1,1,1,0,0,1
146,210,,,,,,1,0,0,0,0,0
147,211,,,,,,0,0,0,0,0,0
148,212,,,ID,,AS,1,1,0,0,0,1
